ID,cluster,time
20080605081235,Cluster 3  |  n = 395,t1
20080605081243,Cluster 1  |  n = 1633,t1
20080605081246,Cluster 2  |  n = 1298,t1
20080605081248,Cluster 1  |  n = 1633,t1
20080605081261,Cluster 2  |  n = 1298,t1
20080605081280,Cluster 2  |  n = 1298,t1
20080605081287,Cluster 2  |  n = 1298,t1
20080605081292,Cluster 2  |  n = 1298,t1
20080605081293,Cluster 2  |  n = 1298,t1
20080605081308,Cluster 2  |  n = 1298,t1
20080605081343,Cluster 2  |  n = 1298,t1
20080605081347,Cluster 1  |  n = 1633,t1
20080605081350,Cluster 1  |  n = 1633,t1
20080605081374,Cluster 1  |  n = 1633,t1
