ID,pair_id,cluster,time
20060504062071,NA,Cluster 4  |  n = 1111,t1
20060504062108,NA,Cluster 2  |  n = 446,t1
20060504062116,NA,Cluster 1  |  n = 1650,t1
20060504062120,NA,Cluster 1  |  n = 1650,t1
20060504062121,NA,Cluster 1  |  n = 1650,t1
20060504062132,NA,Cluster 2  |  n = 446,t1
20060504062144,NA,Cluster 1  |  n = 1650,t1
20060504062150,NA,Cluster 1  |  n = 1650,t1
20060504062159,NA,Cluster 1  |  n = 1650,t1
20060504062170,NA,Cluster 1  |  n = 1650,t1
20060504062194,NA,Cluster 2  |  n = 446,t1
20060504062201,NA,Cluster 1  |  n = 1650,t1
20060504062215,NA,Cluster 1  |  n = 1650,t1
20060504062229,NA,Cluster 3  |  n = 158,t1
20060504062242,NA,Cluster 4  |  n = 1111,t1
20060504062245,NA,Cluster 1  |  n = 1650,t1
20060504062246,NA,Cluster 2  |  n = 446,t1
20060504062248,NA,Cluster 1  |  n = 1650,t1
20060504062250,NA,Cluster 1  |  n = 1650,t1
20060504062251,NA,Cluster 1  |  n = 1650,t1
20060504062254,NA,Cluster 1  |  n = 1650,t1
20060504062260,NA,Cluster 1  |  n = 1650,t1
20060504062269,NA,Cluster 2  |  n = 446,t1
20060504062270,NA,Cluster 2  |  n = 446,t1
20060504062291,NA,Cluster 4  |  n = 1111,t1
20060504062295,NA,Cluster 1  |  n = 1650,t1
20060504062312,NA,Cluster 1  |  n = 1650,t1
20060504062332,NA,Cluster 4  |  n = 1111,t1
20060504062342,NA,Cluster 1  |  n = 1650,t1
20060504062350,NA,Cluster 4  |  n = 1111,t1
20060504062363,NA,Cluster 1  |  n = 1650,t1
20060504062364,NA,Cluster 4  |  n = 1111,t1
20060504062365,NA,Cluster 4  |  n = 1111,t1
20060504062369,NA,Cluster 2  |  n = 446,t1
20060504062373,NA,Cluster 2  |  n = 446,t1
20060504062376,NA,Cluster 4  |  n = 1111,t1
20060504062380,NA,Cluster 1  |  n = 1650,t1
20060504062401,NA,Cluster 1  |  n = 1650,t1
20060504062418,NA,Cluster 1  |  n = 1650,t1
20060504062432,NA,Cluster 2  |  n = 446,t1
20060504062435,NA,Cluster 1  |  n = 1650,t1
20060504062439,NA,Cluster 1  |  n = 1650,t1
20060504062448,NA,Cluster 1  |  n = 1650,t1
20060504062455,NA,Cluster 1  |  n = 1650,t1
20060504062463,NA,Cluster 2  |  n = 446,t1
20060504062476,NA,Cluster 4  |  n = 1111,t1
20060504062480,NA,Cluster 2  |  n = 446,t1
20060504062485,NA,Cluster 1  |  n = 1650,t1
20060504062495,NA,Cluster 1  |  n = 1650,t1
20060504062501,NA,Cluster 1  |  n = 1650,t1
20060504062503,NA,Cluster 1  |  n = 1650,t1
20060504062504,NA,Cluster 4  |  n = 1111,t1
20060504062511,NA,Cluster 4  |  n = 1111,t1
20060504062517,NA,Cluster 2  |  n = 446,t1
20060504062528,NA,Cluster 4  |  n = 1111,t1
20060504062530,NA,Cluster 4  |  n = 1111,t1
