ID,cluster,time
20130604131067,Cluster 2  |  n = 1501,t1
20130604131226,Cluster 2  |  n = 1501,t1
20130604131266,Cluster 3  |  n = 355,t1
20130604131292,Cluster 1  |  n = 1500,t1
20130604131298,Cluster 1  |  n = 1500,t1
20130604131317,Cluster 2  |  n = 1501,t1
20130604131400,Cluster 1  |  n = 1500,t1
20130604131481,Cluster 2  |  n = 1501,t1
20130604131496,Cluster 1  |  n = 1500,t1
20130604131659,Cluster 2  |  n = 1501,t1
20130604131702,Cluster 2  |  n = 1501,t1
20130604131709,Cluster 1  |  n = 1500,t1
20130604131724,Cluster 2  |  n = 1501,t1
20130604131743,Cluster 2  |  n = 1501,t1
20130604131887,Cluster 1  |  n = 1500,t1
20130604131920,Cluster 1  |  n = 1500,t1
20130604131941,Cluster 2  |  n = 1501,t1
20130604131997,Cluster 2  |  n = 1501,t1
20130604132096,Cluster 2  |  n = 1501,t1
20130604132125,Cluster 2  |  n = 1501,t1
20130604132144,Cluster 1  |  n = 1500,t1
20130604132222,Cluster 2  |  n = 1501,t1
20130604132267,Cluster 1  |  n = 1500,t1
20130604132273,Cluster 2  |  n = 1501,t1
20130604132287,Cluster 2  |  n = 1501,t1
20130604132346,Cluster 3  |  n = 355,t1
20130604132349,Cluster 1  |  n = 1500,t1
20130604132363,Cluster 2  |  n = 1501,t1
20130604132389,Cluster 2  |  n = 1501,t1
20130604132393,Cluster 2  |  n = 1501,t1
20130604132419,Cluster 2  |  n = 1501,t1
20130604132442,Cluster 2  |  n = 1501,t1
20130604132462,Cluster 2  |  n = 1501,t1
20130605130030,Cluster 3  |  n = 355,t1
20130605130040,Cluster 3  |  n = 355,t1
20130605130058,Cluster 1  |  n = 1500,t1
20130605130059,Cluster 1  |  n = 1500,t1
20130605130072,Cluster 3  |  n = 355,t1
20130605130087,Cluster 2  |  n = 1501,t1
20130605130088,Cluster 1  |  n = 1500,t1
20130605130091,Cluster 1  |  n = 1500,t1
20130605130111,Cluster 1  |  n = 1500,t1
20130605130113,Cluster 3  |  n = 355,t1
20130605130152,Cluster 1  |  n = 1500,t1
20130605130161,Cluster 2  |  n = 1501,t1
20130605130502,Cluster 2  |  n = 1501,t1
20130605130507,Cluster 2  |  n = 1501,t1
20130605130511,Cluster 1  |  n = 1500,t1
20130605130515,Cluster 1  |  n = 1500,t1
20130605130525,Cluster 1  |  n = 1500,t1
20130605130527,Cluster 1  |  n = 1500,t1
20130605130539,Cluster 2  |  n = 1501,t1
20130605130540,Cluster 2  |  n = 1501,t1
20130605130542,Cluster 1  |  n = 1500,t1
20130605130543,Cluster 1  |  n = 1500,t1
20130605130546,Cluster 1  |  n = 1500,t1
20130605130551,Cluster 3  |  n = 355,t1
20130605130555,Cluster 1  |  n = 1500,t1
20130605130558,Cluster 2  |  n = 1501,t1
20130605130563,Cluster 1  |  n = 1500,t1
20130605130570,Cluster 1  |  n = 1500,t1
20130605130575,Cluster 2  |  n = 1501,t1
20130605130583,Cluster 2  |  n = 1501,t1
20130605130587,Cluster 1  |  n = 1500,t1
20130605130593,Cluster 1  |  n = 1500,t1
20130605130595,Cluster 1  |  n = 1500,t1
20130605130604,Cluster 1  |  n = 1500,t1
20130605130606,Cluster 1  |  n = 1500,t1
20130605130608,Cluster 1  |  n = 1500,t1
20130605130613,Cluster 2  |  n = 1501,t1
20130605130617,Cluster 2  |  n = 1501,t1
20130605130622,Cluster 2  |  n = 1501,t1
20130605130623,Cluster 2  |  n = 1501,t1
20130605130632,Cluster 1  |  n = 1500,t1
20130605130638,Cluster 2  |  n = 1501,t1
20130605130647,Cluster 3  |  n = 355,t1
20130605130649,Cluster 1  |  n = 1500,t1
20130605130654,Cluster 1  |  n = 1500,t1
20130605130655,Cluster 1  |  n = 1500,t1
20130605130677,Cluster 2  |  n = 1501,t1
20130605130681,Cluster 2  |  n = 1501,t1
20130605130692,Cluster 2  |  n = 1501,t1
20130605130697,Cluster 2  |  n = 1501,t1
20130605130698,Cluster 1  |  n = 1500,t1
20130605130701,Cluster 2  |  n = 1501,t1
20130605130707,Cluster 2  |  n = 1501,t1
20130605130716,Cluster 2  |  n = 1501,t1
20130605130736,Cluster 1  |  n = 1500,t1
20130605130748,Cluster 1  |  n = 1500,t1
20130605130770,Cluster 1  |  n = 1500,t1
20130605130774,Cluster 2  |  n = 1501,t1
20130605130778,Cluster 2  |  n = 1501,t1
20130605130781,Cluster 1  |  n = 1500,t1
20130605130788,Cluster 2  |  n = 1501,t1
20130605130793,Cluster 1  |  n = 1500,t1
20130605130798,Cluster 1  |  n = 1500,t1
20130605130799,Cluster 1  |  n = 1500,t1
20130605130801,Cluster 1  |  n = 1500,t1
20130605130805,Cluster 2  |  n = 1501,t1
20130605130812,Cluster 1  |  n = 1500,t1
20130605130832,Cluster 3  |  n = 355,t1
20130605130852,Cluster 2  |  n = 1501,t1
20130605130856,Cluster 3  |  n = 355,t1
20130605130865,Cluster 1  |  n = 1500,t1
20130605130867,Cluster 3  |  n = 355,t1
20130605130873,Cluster 1  |  n = 1500,t1
20130605130877,Cluster 1  |  n = 1500,t1
20130605130886,Cluster 2  |  n = 1501,t1
20130605130892,Cluster 2  |  n = 1501,t1
20130605130897,Cluster 3  |  n = 355,t1
20130605130906,Cluster 2  |  n = 1501,t1
20130605130910,Cluster 2  |  n = 1501,t1
20130605130920,Cluster 2  |  n = 1501,t1
20130605130922,Cluster 2  |  n = 1501,t1
20130605130933,Cluster 2  |  n = 1501,t1
20130605130938,Cluster 1  |  n = 1500,t1
20130605130945,Cluster 1  |  n = 1500,t1
20130605130948,Cluster 1  |  n = 1500,t1
20130605130966,Cluster 2  |  n = 1501,t1
20130605130971,Cluster 1  |  n = 1500,t1
20130605130990,Cluster 2  |  n = 1501,t1
20130605130994,Cluster 1  |  n = 1500,t1
20130605130999,Cluster 1  |  n = 1500,t1
20130605131009,Cluster 2  |  n = 1501,t1
20130605131025,Cluster 1  |  n = 1500,t1
20130605131031,Cluster 3  |  n = 355,t1
20130605131038,Cluster 1  |  n = 1500,t1
20130605131051,Cluster 3  |  n = 355,t1
